"Date","Team","Opponent","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"2017-10-17","GSW","HOU","29:33",60,22,5,9,0.5555555555555556,3,9,0.3333333333333333,0.3333333333333333,3,4,6,6,3,0.4,0.4,0.6666666666666666,0.5,0.5059972222222222,0.5277777777777778,0.5526315789473685,0,0,0,0,0,33.333333333333336
"2017-10-20","GSW","NOP","35:09",82,28,3,5,0.6,4,11,0.36363636363636365,0.36363636363636365,10,2,4,9,3,0.3333333333333333,0.3333333333333333,0.75,0.6875,0.518903125,0.5625,0.675,0,0,0,0,0,23.863636363636363
"2017-10-21","GSW","MEM","30:05",64,37,3,6,0.5,6,11,0.5454545454545454,0.5454545454545454,13,0,6,0,18,0,0,0,0.6470588235294118,0.5796794117647058,0.7058823529411765,0.8043478260869565,0,0,0,0,0,35.714285714285715
"2017-10-23","GSW","DAL","31:09",67,29,5,5,1,2,10,0.2,0.2,13,6,4,6,0,0.6,0.6,1,0.6666666666666666,0.5067133333333333,0.5333333333333333,0.7,0,0,0,0,0,34.666666666666664
"2017-10-25","GSW","TOR","37:31",80,30,5,9,0.5555555555555556,4,11,0.36363636363636365,0.36363636363636365,8,2,8,12,0,0.2,0.2,1,0.55,0.5225925,0.55,0.625,0,0,0,0,0,30.58823529411765
"2017-10-27","GSW","WAS","36:12",81,20,4,6,0.6666666666666666,3,13,0.23076923076923078,0.23076923076923078,3,4,4,6,3,0.5,0.5,0.6666666666666666,0.6842105263157895,0.5234868421052631,0.4473684210526316,0.5,0,0,0,0,0,23.913043478260867
"2017-10-29","GSW","DET","35:26",71,27,8,10,0.8,3,7,0.42857142857142855,0.42857142857142855,2,14,2,6,3,0.875,0.875,0.6666666666666666,0.4117647058823529,0.5487088235294117,0.7352941176470589,0.7941176470588235,0,0,0,0,0,27.5
"2017-10-30","GSW","LAC","29:54",63,31,2,3,0.6666666666666666,7,11,0.6363636363636364,0.6363636363636364,6,0,4,18,3,0,0,0.8571428571428571,0.7857142857142857,0.5497535714285714,0.8928571428571429,0.8611111111111112,0,0,0,0,0,27.142857142857146
"2017-11-02","GSW","SAS","31:51",66,21,4,9,0.4444444444444444,3,4,0.75,0.75,4,2,6,3,6,0.25,0.25,0.3333333333333333,0.3076923076923077,0.5327538461538461,0.6538461538461539,0.6785714285714286,0,1,0.1111111111111111,0,0,22.535211267605636
"2017-11-04","GSW","DEN","29:39",65,22,2,4,0.5,5,10,0.5,0.5,3,2,2,9,6,0.5,0.5,0.6,0.7142857142857143,0.5325785714285715,0.6785714285714286,0.7333333333333333,0,0,0,0,0,25
"2017-11-06","GSW","MIA","33:53",73,16,3,10,0.3,2,9,0.2222222222222222,0.2222222222222222,4,0,6,3,3,0,0,0.5,0.47368421052631576,0.4868763157894737,0.3157894736842105,0.35714285714285715,0,3,0.3,1,0.1111111111111111,25.88235294117647
"2017-11-08","GSW","MIN","29:48",70,22,5,9,0.5555555555555556,2,7,0.2857142857142857,0.2857142857142857,6,4,6,6,0,0.4,0.4,1,0.4375,0.4893875,0.5,0.5789473684210527,0,0,0,0,0,32.87671232876713
"2017-11-11","GSW","PHI","29:54",68,22,2,4,0.5,3,8,0.375,0.375,9,0,4,3,6,0,0,0.3333333333333333,0.6666666666666666,0.5092041666666667,0.5416666666666666,0.6875,0,0,0,0,0,24.65753424657534
"2017-11-16","GSW","BOS","31:04",66,9,1,5,0.2,2,9,0.2222222222222222,0.2222222222222222,1,2,0,3,3,1,1,0.5,0.6428571428571429,0.5128785714285714,0.2857142857142857,0.3,0,0,0,0,0,26.027397260273972
"2017-11-18","GSW","PHI","34:39",74,35,7,13,0.5384615384615384,4,9,0.4444444444444444,0.4444444444444444,9,4,10,3,9,0.2857142857142857,0.2857142857142857,0.25,0.4090909090909091,0.44230227272727274,0.5909090909090909,0.66,0,0,0,0,0,32.53012048192771
"2017-11-19","GSW","BKN","32:40",76,39,10,14,0.7142857142857143,4,10,0.4,0.4,7,6,14,3,9,0.3,0.3,0.25,0.4166666666666667,0.5154333333333333,0.6666666666666666,0.6964285714285714,0,0,0,0,0,42.16867469879518
"2017-11-22","GSW","OKC","30:49",70,24,6,10,0.6,3,8,0.375,0.375,3,2,10,9,0,0.16666666666666666,0.2,1,0.4444444444444444,0.5659388888888889,0.5833333333333334,0.631578947368421,2,0,0,1,0.125,33.333333333333336
"2017-11-24","GSW","CHI","26:52",59,33,6,7,0.8571428571428571,4,11,0.36363636363636365,0.36363636363636365,9,6,6,9,3,0.5,0.5,0.75,0.6111111111111112,0.5619583333333333,0.6666666666666666,0.7619047619047619,0,0,0,0,0,36.507936507936506
"2017-11-25","GSW","NOP","36:28",77,27,6,12,0.5,3,13,0.23076923076923078,0.23076923076923078,6,6,6,3,6,0.5,0.5,0.3333333333333333,0.52,0.5140791666666666,0.42,0.4642857142857143,0,1,0.08333333333333333,0,0,32.18390804597701
"2017-11-29","GSW","LAL","39:24",85,28,6,11,0.5454545454545454,3,9,0.3333333333333333,0.3333333333333333,7,6,6,9,0,0.5,0.5,1,0.45,0.47969999999999996,0.525,0.5833333333333334,0,0,0,0,0,29.896907216494846
"2017-12-01","GSW","ORL","33:03",73,23,6,12,0.5,3,8,0.375,0.375,2,6,6,6,3,0.5,0.5,0.6666666666666666,0.4,0.47474999999999995,0.525,0.5476190476190477,0,1,0.08333333333333333,0,0,31.645569620253163
"2017-12-03","GSW","MIA","30:19",59,30,6,7,0.8571428571428571,5,9,0.5555555555555556,0.5555555555555556,3,6,6,12,3,0.5,0.5,0.8,0.5625,0.564475,0.84375,0.8823529411764706,0,0,0,0,0,26.5625
"2017-12-04","GSW","NOP","34:28",79,31,4,8,0.5,5,11,0.45454545454545453,0.45454545454545453,8,6,2,9,6,0.75,0.75,0.6,0.5789473684210527,0.5161842105263158,0.6052631578947368,0.6818181818181818,0,0,0,0,0,28.235294117647058
"2017-12-30","GSW","MEM","25:36",52,38,3,4,0.75,10,13,0.7692307692307693,0.7692307692307693,2,2,4,24,6,0.3333333333333333,0.3333333333333333,0.8,0.7647058823529411,0.539520588235294,1.0588235294117647,1.0555555555555556,0,0,0,0,0,33.33333333333333
"2018-01-03","GSW","DAL","34:29",77,32,5,6,0.8333333333333334,6,13,0.46153846153846156,0.46153846153846156,4,4,6,6,12,0.4,0.4,0.3333333333333333,0.6842105263157895,0.5457947368421053,0.7368421052631579,0.7380952380952381,0,0,0,0,0,30
"2018-01-04","GSW","HOU","36:52",80,29,6,10,0.6,4,10,0.4,0.4,5,6,6,9,3,0.5,0.5,0.75,0.5,0.52256,0.6,0.6363636363636364,0,0,0,0,0,29.069767441860467
"2018-01-06","GSW","LAC","29:51",66,45,3,5,0.6,8,16,0.5,0.5,15,4,2,12,12,0.6666666666666666,0.6666666666666666,0.5,0.7619047619047619,0.5515166666666667,0.7142857142857143,0.8035714285714286,0,1,0.2,0,0,37.03703703703704
"2018-01-08","GSW","DEN","34:51",73,32,4,7,0.5714285714285714,5,10,0.5,0.5,9,2,6,9,6,0.25,0.25,0.6,0.5882352941176471,0.5316470588235295,0.6764705882352942,0.7619047619047619,0,0,0,0,0,32.926829268292686
"2018-01-13","GSW","TOR","34:28",72,24,4,5,0.8,2,7,0.2857142857142857,0.2857142857142857,10,4,4,3,3,0.5,0.5,0.5,0.5833333333333334,0.52035,0.5833333333333334,0.6666666666666666,0,0,0,0,0,26.38888888888889
